label,area
1095,1.0
1096,1.0
1097,569.0
1098,1.0
1099,1.0
1100,4.0
1101,1.0
1102,1.0
1103,393.0
1104,2.0
1105,1.0
1106,1.0
1107,1.0
1108,6.0
1109,1.0
1110,1.0
1111,1.0
1112,1.0
1113,1.0
1114,1.0
1115,1.0
1116,1.0
1117,750.0
1118,1.0
1119,1.0
1120,1.0
1121,1.0
1122,1.0
1123,1.0
1124,2.0
1125,1.0
1126,1.0
1127,2.0
1128,2.0
1129,1.0
1130,1.0
1131,2.0
1132,1.0
1133,1.0
1134,2.0
1135,1.0
1136,1109.0
1137,6853.0
1138,1.0
1139,1.0
1140,1.0
1141,2.0
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,1006.0
1147,2.0
1148,1.0
1149,1.0
1150,1.0
1151,1.0
1152,2.0
1153,1.0
1154,1.0
1155,1.0
1156,1.0
1157,1.0
1158,1.0
1159,1.0
1160,1.0
1161,1.0
1162,1.0
1163,2.0
1164,2.0
1165,2.0
1166,6733.0
1167,2.0
1168,2.0
1169,1.0
1170,2.0
1171,2.0
1172,2.0
1173,1.0
1174,1.0
1175,1.0
1176,2.0
1177,2.0
1178,2.0
1179,1.0
1180,1.0
1181,1.0
1182,1.0
1183,1.0
1184,1.0
1185,1.0
1186,1.0
1187,1.0
1188,1.0
1189,2.0
1190,1.0
1191,1.0
1192,2.0
1193,1.0
1194,2.0
1195,2.0
1196,1.0
1197,2.0
1198,1.0
1199,2.0
1200,1.0
1201,1.0
1202,1.0
1203,1.0
1204,4.0
1205,1.0
1206,23.0
1207,1.0
1208,2.0
1209,2.0
1210,1.0
1211,1.0
1212,2.0
1213,2.0
1214,1.0
1215,2.0
1216,2.0
1217,1.0
1218,2.0
1219,2.0
1220,2.0
1221,2.0
1222,1.0
1223,2.0
1224,2.0
1225,1.0
1226,1.0
1227,1.0
1228,1.0
1229,1.0
1230,1854.0
1231,7.0
1232,1.0
1233,1.0
1234,1.0
1235,1.0
1236,2.0
1237,2.0
1238,1.0
1239,2.0
1240,2798.0
1241,5.0
1242,2.0
1243,2.0
1244,1.0
1245,1.0
1246,1.0
1247,2.0
1248,2.0
1249,1.0
1250,1.0
1251,1.0
1252,2.0
1253,1.0
1254,2.0
1255,2.0
1256,2.0
1257,2.0
1258,1.0
1259,2.0
1260,2.0
1261,1.0
1262,2.0
1263,634.0
1264,1.0
1265,4.0
1266,1.0
1267,1.0
1268,3.0
1269,2.0
1270,2.0
1271,2.0
